time,label,veg,prec,ag,ap,bg,bx,cbh,lap,nag,enzyme_c
T3,27RXX,Shrub,Ambient,0.0768479494179729,0.99201779919305,1.3150582847237922,0.4656753322505316,0.6815463625915986,0.32081797877540064,0.7385557914098224,1.4709318675131275
T3,32RXX,Shrub,Ambient,0.4089153021020226,1.1996016458969767,1.8300057451050509,1.1912772972437744,1.2996836668383183,0.7596113236993344,1.3654469183024185,2.0238491792594213
T3,35LRX,Shrub,Reduced,0.5828818245926882,1.2922102735183907,1.965593683578173,1.3102520948765783,1.4903902598395453,1.081472004902435,1.5723642368589104,2.168999613356932
T3,45LRX,Shrub,Reduced,0.307290672835801,1.114320715254484,1.5903740876450219,0.845575601490424,1.0017722606312591,0.47700925396756166,0.9339547524834981,1.763545335804699
T3,46RXX,Shrub,Ambient,0.4555086811908949,0.9441535412335886,1.3917332231291137,3.8205223801629513,0.7346019224686524,0.47277183017164764,1.0165285454288628,3.8226788193495085
T3,47RRX,Shrub,Reduced,0.2024570062508248,1.3335049455407395,1.5157625427433106,0.7807895356933766,0.8758144627206108,0.660352272582684,0.9406931156781089,1.6806532658070892
T3,48LXX,Shrub,Ambient,0.1496524140470671,1.0403019617476505,1.25967191423921,0.5457068884700781,0.5715674001350513,0.7896613063270381,0.6331718919857158,1.4287289879574445
T3,4LXX,Grass,Ambient,0.7734403755459206,1.5200099056182679,2.270500564668066,1.5654648856937008,1.9808600689833298,1.7488810025987414,1.744532292797448,2.511635897935684
T3,5RRX,Grass,Reduced,0.8078059041483725,1.5721833085601218,2.2228506514633373,1.329987163388407,1.850793547807359,1.8376776556412011,1.789736140933735,2.424520095029125
T3,7LRX,Grass,Reduced,0.4480838796301923,1.2320853449651914,2.075977592932842,1.3240114210012917,1.7231501404601683,1.0628731023680444,1.699805896823235,2.2919760465901695
T3,8LXX,Grass,Ambient,0.35113000751811496,1.3499749794006943,2.0606316737154073,1.4015266141905185,1.7341844580626191,0.3681403692278642,1.5233763366013164,2.293710436994153
T4,14RRX,Grass,Reduced,0.4341847368715081,1.1265834172561977,1.8330746178924004,1.056465575924216,1.5527046457245517,0.8976154731701745,1.6725501788814472,2.071505326385956
T4,18RXX,Grass,Ambient,0.24806088591569167,0.9817334451828178,1.6693873085095075,0.841303682394014,1.1995245783507906,0.8852997161841631,1.4007399437661032,1.8527765246366314
T4,20LRX,Grass,Reduced,0.2655026690912391,1.17272629354176,1.735820888129304,1.0681364790509242,1.4788243141504942,0.6403003390386172,1.5465647707466499,1.9916126081752987
T4,22LXX,Grass,Ambient,0.3606182258819686,0.9903159739435631,1.613817237260257,0.9082026817052673,1.2654622136001015,0.9430950333152534,1.4376424475099279,1.844563292453696
T4,25LRX,Shrub,Reduced,-0.10801435319634001,0.8579956889901729,1.0787778267933241,0.23240892803671778,0.3344659919802693,2.3964502419320928,0.5589134849601834,1.221059695504048
